------------------------
15/9/2020 0:31:28 msg Alarm ok 1 2 stats (rx_timestamp=1890594910, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=72, tx_counter=280, tx_frequency=868000000)
15/9/2020 0:40:4 msg Config 4 3c71bf877510 30aea458f354 stats (rx_timestamp=2406415668, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=72, tx_counter=281, tx_frequency=868000000)
15/9/2020 0:40:8 msg Config 2 3c71bf877510 3c71bf875fa8 30aea458f354 stats (rx_timestamp=2408292398, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=282, tx_frequency=868000000)
15/9/2020 0:40:11 msg Config 5 3c71bf877510 stats (rx_timestamp=2410750636, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=124, tx_counter=283, tx_frequency=868000000)
15/9/2020 0:40:13 msg Config 4 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=2413664418, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=88, tx_counter=284, tx_frequency=868000000)
15/9/2020 0:40:22 msg Config 8 3c71bf877510 stats (rx_timestamp=2423667517, rssi=-114, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=285, tx_frequency=868000000)
15/9/2020 0:40:26 msg Config 8 3c71bf877510 stats (rx_timestamp=2425816501, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=88, tx_counter=286, tx_frequency=868000000)
15/9/2020 0:40:29 msg Config 7 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=2429727322, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=88, tx_counter=287, tx_frequency=868000000)
15/9/2020 0:40:35 msg Config 8 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=2435101345, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=288, tx_frequency=868000000)
15/9/2020 0:41:3 msg stop 4 3c71bf877510 3c71bf875fa8 30aea458f354 2 stats (rx_timestamp=2435101345, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=289, tx_frequency=868000000)
15/9/2020 0:41:3 msg stop 4 3c71bf877510 3c71bf875fa8 30aea458f354 2 stats (rx_timestamp=2435101345, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=124, tx_counter=290, tx_frequency=868000000)
15/9/2020 0:41:10 msg Discover normal 2 30aea458f354 stats (rx_timestamp=2471606105, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=291, tx_frequency=868000000)
15/9/2020 0:41:13 msg Discover normal 2 30aea458f354 stats (rx_timestamp=2472953099, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=292, tx_frequency=868000000)
15/9/2020 0:41:15 msg Discover normal 2 30aea458f354 stats (rx_timestamp=2476766684, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=293, tx_frequency=868000000)
15/9/2020 0:41:18 msg Discover normal 2 30aea458f354 stats (rx_timestamp=2476766684, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=294, tx_frequency=868000000)
15/9/2020 0:41:21 msg Discover normal 3 30aea458f354 stats (rx_timestamp=2476766684, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=295, tx_frequency=868000000)
15/9/2020 0:41:23 msg Discover normal 3 30aea458f354 stats (rx_timestamp=2485768661, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=296, tx_frequency=868000000)
15/9/2020 0:41:26 msg Discover normal 3 30aea458f354 stats (rx_timestamp=2485768661, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=297, tx_frequency=868000000)
