rx_timestamp=2793744613, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:10:10 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3521810441, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:10:13 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3524794520, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:10:28 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3539726474, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:10:32 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3543706469, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:10:37 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3548373416, rssi=-117, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:10:39 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3550839400, rssi=-120, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:10:41 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3553320394, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:16 msg Config 6 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3587731298, rssi=-123, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:33 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3605286199, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:41 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3613254271, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:44 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3615725255, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:46 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3618204207, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:49 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3620674196, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:51 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3623154243, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:54 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3625643234, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:11:57 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3628634179, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
