------------------------
------------------------
------------------------
27/7/2020 9:34:14 msg Token 3c71bf877510 30aea474cbcc 3c71bf877510 stats (rx_timestamp=78589578, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=27, tx_frequency=868000000)
27/7/2020 9:34:18 msg Hay buena cobertura con la residencia 514 stats (rx_timestamp=81843531, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=28, tx_frequency=868000000)
27/7/2020 9:34:21 msg Hay buena cobertura con la residencia 515 stats (rx_timestamp=85876490, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=30, tx_frequency=868000000)
27/7/2020 9:34:25 msg Hay buena cobertura con la residencia 516 stats (rx_timestamp=89009572, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=31, tx_frequency=868000000)
27/7/2020 9:34:31 msg Hay buena cobertura con la residencia 517 stats (rx_timestamp=95585527, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=34, tx_frequency=868000000)
27/7/2020 9:34:34 msg Hay buena cobertura con la residencia 518 stats (rx_timestamp=98719514, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=35, tx_frequency=868000000)
27/7/2020 9:34:41 msg Hay buena cobertura con la residencia 520 stats (rx_timestamp=105410550, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=38, tx_frequency=868000000)
27/7/2020 9:34:44 msg Hay buena cobertura con la residencia 521 stats (rx_timestamp=108664546, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=39, tx_frequency=868000000)
27/7/2020 9:34:52 msg Hay buena cobertura con la residencia 523 stats (rx_timestamp=115953500, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=42, tx_frequency=868000000)
27/7/2020 9:34:55 msg Hay buena cobertura con la residencia 524 stats (rx_timestamp=119077492, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=43, tx_frequency=868000000)
27/7/2020 9:34:58 msg Hay buena cobertura con la residencia 526 stats (rx_timestamp=122327536, rssi=-99, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=44, tx_frequency=868000000)
27/7/2020 9:35:2 msg Hay buena cobertura con la residencia 527 stats (rx_timestamp=126168527, rssi=-101, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=46, tx_frequency=868000000)
27/7/2020 9:35:4 msg Hay buena cobertura con la residencia 528 stats (rx_timestamp=128646732, rssi=-108, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=47, tx_frequency=868000000)
27/7/2020 9:35:6 msg Hay buena cobertura con la residencia 529 stats (rx_timestamp=130003522, rssi=-100, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=47, tx_frequency=868000000)
27/7/2020 9:35:9 msg Token 3c71bf877510 30aea474cbcc 3c71bf877510 stats (rx_timestamp=133810513, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=49, tx_frequency=868000000)
27/7/2020 9:35:13 msg Hay buena cobertura con la residencia 530 stats (rx_timestamp=136937473, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=50, tx_frequency=868000000)
27/7/2020 9:35:16 msg Hay buena cobertura con la residencia 531 stats (rx_timestamp=140175506, rssi=-100, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=51, tx_frequency=868000000)
27/7/2020 9:35:20 msg Hay buena cobertura con la residencia 532 stats (rx_timestamp=144001463, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=53, tx_frequency=868000000)
27/7/2020 9:35:23 msg Hay buena cobertura con la residencia 533 stats (rx_timestamp=147127412, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=54, tx_frequency=868000000)
