------------------------
15/9/2020 0:29:24 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1771028243, rssi=-114, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=220, tx_frequency=868000000)
15/9/2020 0:29:32 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1779056188, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=221, tx_frequency=868000000)
15/9/2020 0:29:34 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1781737172, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=222, tx_frequency=868000000)
15/9/2020 0:29:38 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1784413164, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=223, tx_frequency=868000000)
15/9/2020 0:29:40 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1787089141, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=224, tx_frequency=868000000)
15/9/2020 0:29:44 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1789765125, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=225, tx_frequency=868000000)
15/9/2020 0:29:46 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1792474068, rssi=-115, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=226, tx_frequency=868000000)
15/9/2020 0:29:48 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1795148060, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=227, tx_frequency=868000000)
15/9/2020 0:29:52 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1797824035, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=228, tx_frequency=868000000)
15/9/2020 0:29:53 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1800500019, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=229, tx_frequency=868000000)
