stats (rx_timestamp=2709322498, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6210, tx_frequency=868000000)
17/7/2020 4:26:12 msg Hay buena cobertura con mateu orfila 4084 stats (rx_timestamp=3093617176, rssi=-112, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6362, tx_frequency=868000000)
17/7/2020 4:26:16 msg Hay buena cobertura con mateu orfila 4085 stats (rx_timestamp=3097794162, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6364, tx_frequency=868000000)
17/7/2020 4:26:20 msg Hay buena cobertura con mateu orfila 4086 stats (rx_timestamp=3101971105, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=6365, tx_frequency=868000000)
17/7/2020 4:26:24 msg Hay buena cobertura con mateu orfila 4087 stats (rx_timestamp=3106148137, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6367, tx_frequency=868000000)
17/7/2020 4:26:28 msg Hay buena cobertura con mateu orfila 4088 stats (rx_timestamp=3110325079, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6369, tx_frequency=868000000)
17/7/2020 4:26:32 msg Hay buena cobertura con mateu orfila 4089 stats (rx_timestamp=3114502067, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6370, tx_frequency=868000000)
17/7/2020 4:26:37 msg Hay buena cobertura con mateu orfila 4090 stats (rx_timestamp=3118679097, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6372, tx_frequency=868000000)
17/7/2020 4:26:45 msg Hay buena cobertura con mateu orfila 4091 stats (rx_timestamp=3127033074, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6375, tx_frequency=868000000)
17/7/2020 4:26:49 msg Hay buena cobertura con mateu orfila 4092 stats (rx_timestamp=3131210064, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6377, tx_frequency=868000000)
17/7/2020 4:26:57 msg Hay buena cobertura con mateu orfila 4094 stats (rx_timestamp=3139563995, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6380, tx_frequency=868000000)
17/7/2020 4:27:2 msg Hay buena cobertura con mateu orfila 4095 stats (rx_timestamp=3143741018, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6382, tx_frequency=868000000)
17/7/2020 4:27:10 msg Hay buena cobertura con mateu orfila 4097 stats (rx_timestamp=3152094995, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6385, tx_frequency=868000000)
